"Net","Regist","anillador","Codigo","No_anillo","No_anillo.","Anillo.color","Codigo.especie","FAMILY","Genus","species","spp","Edad","Codigo.fechado","SEXO..M.H.D.","Codigo.Sexado","SEX.MOLEC","MUSCULO","PROCLO","PARINC","GRASA","MUDA.CORP","MUDA.VUEL","MUDA.COLA","DESG.VUEL","PLUMJUV","ALA","COLA","CULMEN","APERTURA","TARSO","PESO","COJO","CPIEL","CPATAS","ECTOPARASITO","SANGRE","H1","H2","H3","H4","RED","FECHA","Year.x","ECTO.ROJO","Dondectos","Cuantosectos","OBSERVACIONES","CREST","Specific.Habitat","general.habitat","Field.Site","REGION","PATCH.SIZE","Netline","Foragero","SAMPLE.NUMBER","Categories","lon","lat","ele","Net.number","Year.y"
"1_Arcilloso 1_2009","467","SC","N","6682","6682#","#NAME?","GLSP","DENDROCOLAPTIDAE","Glyphorynchus","spirurus","Glyphorynchus spirurus",NA,"-","D","-","","-","N","A","N","N","N","N","I","-","64","63","8.9","15.5","15.4","13.4","Mo","G","G","1","1","1","1","4","5","1","6-Jul-09",2009,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-SI-B","","",-73.42771227,-3.9765161,147.2064209,"1",2009
"1_Arcilloso 1_2009","411","PS","N","6655","6655#","#NAME?","LECO","PIPRIDAE","Lepidothrix","coronata","Lepidothrix coronata",NA,"-","M","P","","-","N","N","N","N","N","N","I","-","60","27","6.5","12.9","13.7","7.3","R","Go","Go","1","-","1","0","2","5","1","5-Jul-09",2009,"","","","no sangre",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-FR-F","","QUIESCENT",-73.42771227,-3.9765161,147.2064209,"1",2009
"1_Arcilloso 1_2012","7224","JU","X","-","-#","-","THLC","TROCHILIDAE ","Threnetes","leucurus","Threnetes leucurus","A","B","D","-","","1","N","N","-","N","N","N","I","-","55","32","27.3","32.8","-","5.91","Mo","N","D","-","-","1","0","3","4","1","29-Aug-12",2012,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-NI-F","","QUIESCENT",-73.42767245,-3.976552226,146.0048828,"1",2012
"1_Arcilloso 1_2012","7243","OT","N","J00713","J00713#","-","PYAL","THAMNOPHILIDAE ","Pithys","albifrons","Pithys albifrons","A","P","D","-","","4","N","N","N","A","N","N","A","N","65","45","9.9","17.9","21.4","19.57","Mo","N","J","1","1","1","4","1","0","1","29-Aug-12",2012,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-LI-R","","MOLTER",-73.42767245,-3.976552226,146.0048828,"1",2012
"1_Arcilloso 1_2012","7301","SPC","X","-","-#","IR4","PHBO","TROCHILIDAE ","Phaetornis","bourcieri","Phaetornis bourcieri","A","-","D","-","","1","N","N","N","N","N","N","I","-","59","64","26.2","34","-","4.48","Mo","G","D","-","-","1","2","3","7","1","30-Aug-12",2012,"","","","",NA,"terra firme","clay","Arci 1","KM 28","","Arcilloso 1","S-NI-F","","QUIESCENT",-73.42767245,-3.976552226,146.0048828,"1",2012
"1_Arcilloso 2_2009","888","MT","N","6850","6850#","-RC","MAMA","PIPRIDAE","Manacus","manacus","Manacus manacus",NA,"B","H","-","","2","N","N","N","N","N","N","I","J","52","32","6","14.2","20","14.95","Mo","G","J","1","1","0","7","0","3","1","13-Aug-09",2009,"","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-FR-F","","QUIESCENT",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","957","PS","N","6892","6892#","LB","HYOC","VIREONIDAE","Hylophilus","ochraceiceps","Hylophilus ochraceiceps",NA,"-","D","-","","-","G","A","F","N","N","N","I","-","56","39","9","16.5","16.1","11.38","Gc","G","G","1","1","0","9","2","0","1","26-Aug-09",2009,"","","","",NA,"terra firme","clay","Maderables","KM 28","","Arcilloso 2","U-SI-F","","BREEDER",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","874","AR","N","6837","6837#","#NAME?","MIOL","TYRANNIDAE ","Mionectes","oleagineus","Mionectes oleagineus",NA,"-","D","-","","2","N","P","F","N","N","N","I","-","58","45","8","15.1","14.5","9.95","Mo","G","Gc","1","1","1","2","3","3","1","12-Aug-09",2009,"-","","","",NA,"terra firme","clay","Frutales","KM 28","","Arcilloso 2","S-SO-F","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1021","SC","N","2976","2976#","#NAME?","GYLE","THAMNOPHILIDAE ","Gymnopithys","leucaspis","Gymnopithys leucaspis",NA,"-","M","P","","3","N","A","N","N","A","N","I","-","74","45","11.1","21.7","26.2","29.15","Mo","C","G","1","1","1","4","0","0","1","28-Aug-09",2009,"","","","",NA,"terra firme","clay","Arcilloso 4","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
"1_Arcilloso 2_2009","1992","PS","N","J00008","J00008#","#NAME?","GYLE","THAMNOPHILIDAE ","Gymnopithys","leucaspis","Gymnopithys leucaspis",NA,"-","M","P","","3","N","P","I","N","N","N","L","-","74","46","12.2","22.5","26.5","24.85","Mc","NB","G","1","2","0","9","4","7","1","4-Dec-09",2009,"","","","",NA,"terra firme","clay","Arci 1_2","KM 28","","Arcilloso 2","S-LI-R","","",-73.43572863,-3.96883769,139.5158691,"1",2009
