"","Netline","Accipiter superciliosus","Ancistrops strigilatus","Attila citriniventris","Attila spadiceus","Automolus ochrolaemus","Buteo  magnirostris","Cacicus cela","Campephilus rubricollis","Capito auratus","Catharus minimus","Catharus ustulatus","Celeus elegans","Celeus grammicus","Cercomacra  serva","Cercomacra nigrescens","Chloroceryle aenea","Claravis pretiosa","Cnemotriccus spp.","Cnipodectes subbrunneus","Conopophaga peruviana","Corythopis torquatus","Cyanerpes caeruleus","Cyanerpes cyaneus","Cyanocompsa cyanoides","Deconychura stictolaema","Deconycura longicauda","Dendrocincla fuliginosa","Dendrocincla merula","Dendrocolaptes certhia","Dixiphia pipra","Epinecrophylla haematonota","Euphonia rufiventris","Formicarius colma","Frederickena unduligera","Galbula albirostris","Geotrygon montana","Glyphorynchus spirurus","Gymnopithys leucaspis","Gymnopithys lunulatus","Habia rubica","Heliodoxa aurescens","Heterocercus aurantiivertex","Hyloctistes subulatus","Hylophilus ochraceiceps","Hylophylax naevius","Hylophylax poecilonotus","Hypocnemis hypoxantha","Laniocera  hypopyrra","Lepidothrix coronata","Lipaugus vociferans","Lophotriccus  vitiosus","Machaeropterus regulus","Malacoptila fusca","Manacus manacus","Megastictus margaritatus","Micrastur gilvicollis","Microcerculus marginatus","Micromonacha lanceolata","Microrhopias quixensis","Mionectes oleagineus","Momotus momota","Myrmeciza castanea","Myrmeciza fortis","Myrmoborus myotherinus","Myrmotherula axillaris","Myrmotherula hauxwelli","Myrmotherula longipennis","Myrmotherula menestriesii","Neoctantes niger","Neopelma chrysocephalum","Neopipo cinnamomea","Nonnula brunnea","Notarchus ordii","Onychorhynchus  coronatus","Oporornis agilis","Oryzoborus angolensis","Pachyramphus marginatus","Pachyramphus polychopterus","Percnostola arenarum","Percnostola leucostigma","Phaeothlypis fulvicauda","Philydor erythrocercum","Phlegopsis erythroptera","Phoenicircus  nigricollis","Pipra erythrocephala","Pithys albifrons","Platyrinchus saturatus","Poecilotriccus latirostris","Ramphotrigon  ruficauda","Rhegmatorhina melanosticta","Rhytipterna simplex","Schiffornis turdina","Sclateria naevia","Sclerurus caudatus","Sclerurus mexicanus","Sclerurus rufigularis","Selenidera reinwardtii","Synallaxis rutilans","Tachyphonus cristatus","Tachyphonus surinamus","Tangara chilensis","Terenotriccus  erythrurus","Thamnomanes ardesiacus","Thamnomanes caesius","Thamnophilus doliatus","Thamnophilus murinus","Thryothorus coraya","Tityra semifasciata","Trogon rufus","Turdus albicollis","Turdus lawrencii","Veniliornis  affinis","Xenops minutus","Xiphorhynchus elegans"
"1","Culo",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2","IIAP PROT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"3","Jefe Madre",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4","Lek 1",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Madre Edge",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"6","Mishana 1",0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1
"7","Nva Esp 1",0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"8","Nva Esp 2",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"9","Nva Esp New",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"10","San Mar 1",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"11","San Mar 2",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"12","Var Blanco",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"13","Var Bol 1",0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"14","Var Bol 2",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
